"Expenditure ID","Org ID","Filer Type","Filer Name","Candidate Name","Expenditure Transaction Type","Expenditure Sub Type","Expenditure Date","Expenditure Amount","Description","Payee or Recipient or In-Kind Contributor Type","Payee or Recipient or In-Kind Contributor Name","First Name","Middle Name","Suffix","Address 1","Address 2","City","State","Zip","Filed Date","Support Or Oppose","Candidate Name or Ballot Issue","Jurisdiction - Office - District or Ballot Description","Amended","Employer","Occupation","Principal Place of Business"
"61376","7319","Candidate Committee","JONI ALBRECHT FOR LEGISLATURE","JONI ALBRECHT","Campaign Expense","Unknown","01/01/2024","1000","FUNDRAISER TICKETS","Candidate Committee","BOB EVNEN FOR NEBRASKA","","","","5555 SOUTH ST","","LINCOLN","NE","68506","01/06/2025","","","","N","","",""
"61398","7645","Candidate Committee","FRIENDS FOR JOHN FREDRICKSON","JOHN FREDRICKSON","Campaign Expense","Unknown","01/01/2024","100","INVOICE 1099","Business (For-Profit and Non-Profit entities)","CERBERUS STRATEGIES, LLC","","","","4565 SHIRLEY ST.","","OMAHA","NE","68106","01/31/2025","","","","N","","",""
"64449","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Third Party Expenditure","Third Party Expenditure","01/01/2024","12","SOFTWARE","Business (For-Profit and Non-Profit entities)","GOOGLE","","","","1600 AMPHITHEATRE PARKWAY","","MOUNTAIN VIEW","CA","94043","01/31/2025","","","","N","","",""
"66562","7382","Candidate Committee","FESTERSEN FOR CITY COUNCIL","PETE FESTERSEN","Campaign Expense","Unknown","01/01/2025","250","REIMBURSEMENT FOR NGP VAN","Business (For-Profit and Non-Profit entities)","JRS CONSULTING","","","","3907 TRIMBLE ROAD","","NASHVILLE","TN","37215","02/27/2025","","","","N","","",""
"66970","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Campaign Expense","Unknown","01/01/2025","16654.45","CAMPAIGN EXPENSES","Individual","KRAMER","BETH","","","7446 N. 124TH STREET","","OMAHA","NE","68142","03/03/2025","","","","N","SELF","CONSULTANT",""
"66971","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Third Party Expenditure","Third Party Expenditure","01/01/2025","67.11","SOFTWARE","Business (For-Profit and Non-Profit entities)","GOOGLE","","","","1600 AMPHITHEATRE PARKWAY","","MOUNTAIN VIEW","CA","94043","03/03/2025","","","","N","","",""
"66972","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Third Party Expenditure","Third Party Expenditure","01/01/2025","105","SOFTWARE","Business (For-Profit and Non-Profit entities)","INTUIT","","","","7525 TORREY SANTA FE RD","","SAN DIEGO","CA","92129","03/03/2025","","","","N","","",""
"66973","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Third Party Expenditure","Third Party Expenditure","01/01/2025","44.97","SOFTWARE","Business (For-Profit and Non-Profit entities)","CANVA","","","","75 EAST SANTA CLARA ST","","SAN JOSE","CA","95113","03/03/2025","","","","N","","",""
"66974","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Third Party Expenditure","Third Party Expenditure","01/01/2025","383","INSURANCE","Business (For-Profit and Non-Profit entities)","FIRST EXPRESS INSURANCE","","","","16949 LAKESIDE HILLS PLZ","","OMAHA","NE","68130","03/03/2025","","","","N","","",""
"66977","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Campaign Expense","Unknown","01/01/2025","1500","SOFTWARE","Business (For-Profit and Non-Profit entities)","ARISTOTLE INTERNATIONAL","","","","PO BOX 716045","","PHILADELPHIA","PA","19171","03/03/2025","","","","N","","",""
"66978","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Campaign Expense","Unknown","01/01/2025","2000","RENT","Business (For-Profit and Non-Profit entities)","440 REGENCY PARKWAY BUILDING","","","","450 REGENCY PARKWAY","","OMAHA","NE","68114","03/03/2025","","","","N","","",""
"67033","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Third Party Expenditure","Third Party Expenditure","01/01/2025","237.57","EVENT CATERING","Business (For-Profit and Non-Profit entities)","HYVEE","","","","747 N 132ND ST","","OMAHA","NE","68154","03/03/2025","","","","N","","",""
"67059","7789","Political Party Committee","NEBRASKA DEMOCRATIC PARTY","","In-Kind Expenditure","Unknown","01/01/2025","500","VOTER FILE ACCESS","Candidate Committee","BARBARA BAIER FOR SCHOOL BOARD","","","","2520 R STREET APT 1","","LINCOLN","NE","68503","03/03/2025","","","","N","","",""
